,league_name,year,transfer_period,fee_cleaned
382,Premier Liga,2012,Summer,218.64
383,Premier Liga,2012,Winter,111.81
384,Premier Liga,2013,Summer,284.625
385,Premier Liga,2013,Winter,39.167
386,Premier Liga,2014,Summer,82.785
387,Premier Liga,2014,Winter,6.272
388,Premier Liga,2015,Summer,19.63
389,Premier Liga,2015,Winter,21.130000000000003
390,Premier Liga,2016,Summer,91.674
391,Premier Liga,2016,Winter,33.27
392,Premier Liga,2017,Summer,125.1
393,Premier Liga,2017,Winter,30.261
394,Premier Liga,2018,Summer,67.934
395,Premier Liga,2018,Winter,59.625
396,Premier Liga,2019,Summer,248.647
397,Premier Liga,2019,Winter,19.555
398,Premier Liga,2020,Summer,125.222
399,Premier Liga,2020,Winter,16.935
400,Premier Liga,2021,Summer,124.125
401,Premier Liga,2021,Winter,81.814
402,Premier Liga,2022,Summer,85.423
403,Primera Division,1992,Summer,26.849
404,Primera Division,1992,Winter,1.378
405,Primera Division,1993,Summer,44.29
406,Primera Division,1993,Winter,0.788
407,Primera Division,1994,Summer,63.422
408,Primera Division,1994,Winter,3.18
409,Primera Division,1995,Summer,77.205
410,Primera Division,1995,Winter,1.2
411,Primera Division,1996,Summer,216.521
412,Primera Division,1996,Winter,40.541
413,Primera Division,1997,Summer,302.465
414,Primera Division,1997,Winter,40.26
415,Primera Division,1998,Summer,223.09
416,Primera Division,1998,Winter,39.824
417,Primera Division,1999,Summer,280.146
418,Primera Division,1999,Winter,13.215
419,Primera Division,2000,Summer,419.611
420,Primera Division,2000,Winter,41.95
421,Primera Division,2001,Summer,268.778
422,Primera Division,2001,Winter,48.13
423,Primera Division,2002,Summer,178.05
424,Primera Division,2002,Winter,4.7
425,Primera Division,2003,Summer,147.7
426,Primera Division,2003,Winter,11.3
427,Primera Division,2004,Summer,230.875
428,Primera Division,2004,Winter,29.46
429,Primera Division,2005,Summer,219.18
430,Primera Division,2005,Winter,33.525
431,Primera Division,2006,Summer,336.497
432,Primera Division,2006,Winter,70.52499999999999
433,Primera Division,2007,Summer,537.17
434,Primera Division,2007,Winter,28.28
435,Primera Division,2008,Summer,328.96500000000003
436,Primera Division,2008,Winter,63.05
437,Primera Division,2009,Summer,494.96
438,Primera Division,2009,Winter,12.325
439,Primera Division,2010,Summer,277.99
440,Primera Division,2010,Winter,37.34
441,Primera Division,2011,Summer,373.565
442,Primera Division,2011,Winter,27.05
443,Primera Division,2012,Summer,152.85
444,Primera Division,2012,Winter,14.27
445,Primera Division,2013,Summer,429.83
446,Primera Division,2013,Winter,22.375
447,Primera Division,2014,Summer,481.247
448,Primera Division,2014,Winter,60.303
449,Primera Division,2015,Summer,562.4
450,Primera Division,2015,Winter,32.62
451,Primera Division,2016,Summer,502.745
452,Primera Division,2016,Winter,27.75
453,Primera Division,2017,Summer,627.63
454,Primera Division,2017,Winter,288.7
455,Primera Division,2018,Summer,936.8
456,Primera Division,2018,Winter,115.45
457,Primera Division,2019,Summer,1366.32
458,Primera Division,2019,Winter,159.08
459,Primera Division,2020,Summer,389.4
460,Primera Division,2020,Winter,36.3
461,Primera Division,2021,Summer,301.972
462,Primera Division,2021,Winter,78.25
463,Primera Division,2022,Summer,506.69
