Squad,Gender,Comp,From,To,Comps,Champs,Other Names
ESA Brive,M,,2014-2015,2021-2022,0,0,
ESA Linas-Montlhéry,M,,2019-2020,2022-2023,0,0,
ESC Longueau,M,,2016-2017,2020-2021,0,0,
ESM Gonfreville,M,,2014-2015,2020-2021,0,0,l'Orcher
ESM Hamel,M,,2021-2022,2021-2022,0,0,
ESOF La Roche-sur-Yon,M,,2021-2022,2021-2022,0,0,
Espérance Aulnay,M,,2021-2022,2021-2022,0,0,
Espérance Chartres de Bretagne,M,,2022-2023,2022-2023,0,,
Étoile Fréjus Saint-Raphaël,M,,2014-2015,2022-2023,0,0,ÉFC Fréjus Saint-Raphaël
Etoile Naborienne Saint-Avold,M,,2017-2018,2018-2019,0,0,
Evian Thonon Gaillard FC,M,,2010-2011,2020-2021,6,1,Thonon Évian Savoie FC
Évreux FC,M,,2017-2018,2022-2023,0,0,Evreux FC 27
FA Illkirch-Graffenstaden,M,,2014-2015,2018-2019,0,0,
FA Le Cendre,M,,2016-2017,2016-2017,0,0,
FC 4 Rivières 70,M,,2017-2018,2019-2020,0,0,
FC 93,M,,2020-2021,2021-2022,0,0,
FC Albères-Argelès,M,,2017-2018,2022-2023,0,0,
FC Atlantique Vilaine,M,,2018-2019,2018-2019,0,0,
FC Bassin d'Arcachon,M,,2016-2017,2016-2017,0,0,
FC Bastia-Borgo,M,,2014-2015,2022-2023,0,0,
FC Biars Bretenoux,M,,2018-2019,2022-2023,0,0,
FC Bondues,M,,2022-2023,2022-2023,0,,
FC Bords-de-Saône,M,,2016-2017,2016-2017,0,0,
FC Bourgoin-Jallieu,M,,2014-2015,2022-2023,0,0,
FC Bressuire,M,,2014-2015,2017-2018,0,0,
FC Challans,M,,2016-2017,2019-2020,0,0,
FC Chalon,M,,2014-2015,2014-2015,0,0,nais
FC Chamalières,M,,2017-2018,2022-2023,0,0,
FC Chambly,M,,2014-2015,2022-2023,2,0,Oise
FC Chartres,M,,2017-2018,2017-2018,0,0,
FC Chartres,M,,2019-2020,2021-2022,0,0,C' Chartres Football
FC Chauray,M,,2014-2015,2022-2023,0,0,
FC Chusclan-Laudun-l'Ardoise,M,,2021-2022,2021-2022,0,0,
FC Côte Bleue,M,,2018-2019,2018-2019,0,0,
FC Cournon-d'Auvergne,M,,2019-2020,2022-2023,0,0,FC Cournon d'Auvergne
FC Dahlenheim,M,,2016-2017,2016-2017,0,0,
FC Dieppe,M,,2019-2020,2019-2020,0,0,FC Dieppois
FC Dutemple,M,,2021-2022,2021-2022,0,0,
FC Échirolles,M,,2014-2015,2015-2016,0,0,
FC Ecureuils Merignac-Arlac,M,,2017-2018,2022-2023,0,0,
FC Éloyes,M,,2021-2022,2021-2022,0,0,
FC Espaly,M,,2015-2016,2015-2016,0,0,
FC Essartais,M,,2017-2018,2017-2018,0,0,
FC Fleury 91,M,,2014-2015,2022-2023,0,0,
FC Fleury 91 Cœur d'Essonne,F,Championnat de France de Football Féminin,2017-2018,2022-2023,6,,
FC Geispolsheim 01,M,,2017-2018,2022-2023,0,0,
FC Girondins de Bordeaux,M,Ligue 2,1990-1991,2022-2023,28,2,
FC Girondins de Bordeaux,F,Championnat de France de Football Féminin,2017-2018,2022-2023,6,,
FC Gobelins,M,,2022-2023,2022-2023,0,,
FC Grandvillars,M,,2017-2018,2017-2018,0,0,
FC Gueugnon,M,,1995-1996,2022-2023,1,0,
FC Guichen,M,,2014-2015,2020-2021,0,0,
FC Hégenheim,M,,2017-2018,2017-2018,0,0,
FC Istres,M,,2004-2005,2021-2022,6,0,Istres FC
FC Kronenbourg Strasbourg,M,,2016-2017,2016-2017,0,0,
FC La Chapelle Montgermont,M,,2015-2016,2015-2016,0,0,
FC La Chapelle-des-Marais,M,,2018-2019,2018-2019,0,0,
FC La Suze,M,,2015-2016,2015-2016,0,0,
FC La Tour-Saint Clair,M,,2017-2018,2017-2018,0,0,
FC Langlade,M,,2021-2022,2021-2022,0,0,
FC Lescarien,M,,2022-2023,2022-2023,0,,
FC Liancourt Clermont,M,,2022-2023,2022-2023,0,,
FC Lille-Sud,M,,2014-2015,2014-2015,0,0,
FC Limonest Saint-Didier,M,,2014-2015,2022-2023,0,0,
FC Loon-Plage,M,,2014-2015,2022-2023,0,0,
FC Lorient,M,Ligue 1,1998-1999,2022-2023,19,1,
FC Lunéville,M,,2016-2017,2019-2020,0,0,
FC Lyon,M,,2019-2020,2019-2020,0,0,
FC Mantes,M,,2015-2016,2015-2016,0,0,FC Mantois 78
FC Marcoussis NVB,M,,2022-2023,2022-2023,0,,
FC Martigues,M,,1995-1996,2021-2022,1,0,
